rotten_tomatoes_link,movie_title,movie_info,critics_consensus,genres,directors,authors,tomatometer_rating,audience_rating,tomatometer_count,audience_count
m/black_mask,Black Mask,"Simon (Jet Li) appears to be a mild-mannered librarian, but he's actually a genetically enhanced solider who feels no pain. His team of super-soldiers, code-named Squad 701, was disbanded after some of them had psychotic episodes and exhibited mental instability. Simon thinks his fighting days are behind him, but when members of the squad, led by his ex-commander, Hung (Patrick Lung), start murdering drug dealers, Simon dons a black mask and searches the streets for his former comrades.","Stylish setting and masterfully choreographed fight scenes, but the story is low on credibility and high on excessive violence and gore.","Action & Adventure, Art House & International",Daniel Lee,"Hark Tsui, Teddy Chen, Teddy Chan, Koan Hui, Joe Ma Wai Ho",48.0,50.0,29.0,22245.0
m/pandemic_2016,Pandemic,"Members (Rachel Nichols, Alfie Allen) of a rescue team battle bloodthirsty zombies as they search for uninfected survivors in Los Angeles.",,"Action & Adventure, Science Fiction & Fantasy",John Suits,Dustin T. Benson,44.0,74.0,16.0,1127.0
m/night_of_the_hunter,The Night of the Hunter,"The Rev. Harry Powell (Robert Mitchum) is a religious fanatic and serial killer who targets women who use their sexuality to attract men. Serving time in prison for car theft, he meets condemned murderer Ben Harper (Peter Graves), who confesses to hiding $10,000 in stolen loot. Released from jail, Powell is obsessed with finding the money, and he tracks down Harper's widow, Willa (Shelley Winters), and her two children, John (Billy Chapin) and Pearl (Sally Jane Bruce).","Featuring Robert Mitchum's formidable performance as a child-hunting preacher, The Night of the Hunter is a disturbing look at good and evil.","Drama, Mystery & Suspense",Charles Laughton,James Agee,95.0,90.0,75.0,24716.0
m/broken_horses,Broken Horses,"A musician (Anton Yelchin) returns home after eight years and reunites with his brother (Chris Marquette), a slow-witted hit man who works for a local gangster (Vincent D'Onofrio).",,"Action & Adventure, Drama",Vidhu Vinod Chopra,"Vidhu Vinod Chopra, Abhijat Joshi",25.0,43.0,20.0,334.0
m/1210904-splinterheads,Splinterheads,Justin meets a sexy con artist who shows him how to live to the fullest.,,Comedy,Brant Sersen,Brant Sersen,27.0,50.0,11.0,713.0
m/1015348-nutty_professor,The Nutty Professor,"Julius Kelp (Jerry Lewis) is a college professor with a problem. Clumsy, awkward, inarticulate and unattractive, Julius is a hopeless case when it comes to women -- but he's desperate to impress beautiful student Stella (Stella Stevens). Fortunately, he does know something about chemistry and decides to concoct a potion that will turn him into a whole new man. In this classic comedy, Julius' suave alter ego, Buddy Love, must win Stella's affections before his short-lived potion runs out.",,"Classics, Comedy",Jerry Lewis,"Jerry Lewis, Bill Richmond",85.0,67.0,26.0,32971.0
m/osterman_weekend,The Osterman Weekend,"An outspoken television personality, John Tanner (Rutger Hauer) has an annual tradition of going away with three college buddies. However, when Tanner is informed that these friends -- Bernard Osterman (Craig T. Nelson), Richard Tremayne (Dennis Hopper) and Joseph Cardone (Chris Sarandon) -- are part of a Soviet spy network, it adds considerable conflict to their getaway, a tension heightened by an enigmatic spy named Lawrence Fassett (John Hurt), who has unclear motives.",,"Action & Adventure, Drama, Mystery & Suspense",Sam Peckinpah,"Robert Ludlum, Alan Sharp, Ian Masters",39.0,38.0,18.0,3178.0
m/summer_rental,Summer Rental,"After air traffic controller Jack Chester loses a plane (it's covered on his screen by a fly), he's told to take a break. Jack books his family into a plush resort, but it turns out that their lodgings are in a hut by the beach, and that's as good as the vacation gets.",,Comedy,Carl Reiner,"Mark Reisman, Carl Reiner, Jeremy Stevens",17.0,51.0,18.0,9631.0
m/blood_honey,Blood Honey,"After a decade of being away, a woman returns to her family's fly-in hunting lodge to assist her siblings with their dying father, and she finds herself stuck in a life-threatening nightmare.",,Horror,Jeff Kopas,"Doug Taylor, Jeff Kopas",25.0,72.0,8.0,650.0
m/beware_the_gonzo,Beware the Gonzo,Eddie starts an underground movement to give a voice to the misfits and nerds.,,Comedy,Bryan Goluboff,Bryan Goluboff,44.0,47.0,9.0,463.0
m/searching_for_sugar_man,Searching for Sugar Man,"Though he faded into obscurity in the U.S., an early '70s musician known as Rodriguez became a huge hit in South Africa and was widely rumored to have died. Two obsessed fans set out to learn the man's true fate.","A fascinating portrait of a forgotten musical pioneer, Searching for Sugar Man is by turns informative and mysterious.","Documentary, Musical & Performing Arts",Malik Bendjelloul,Malik Bendjelloul,95.0,92.0,130.0,19254.0
m/this_thing_of_ours,This Thing of Ours,Gangsters use sophisticated technology to steal millions from banks.,,Drama,Danny Provenzano,"Danny Provenzano, Ted A. Bohus",40.0,27.0,15.0,266.0
m/yentl,Yentl,"Rebbe Mendel is a single father who teaches the Talmud, a sacred text of Judaism, to the boys of his small Polish town. Behind closed doors, he also instructs his daughter, Yentl, despite the fact that girls are forbidden to study religious scripture. When Yentl's father dies, she still has a strong desire to learn about her faith -- so she disguises herself as a male, enrolls in a religious school, and unexpectedly finds love along the way.",,"Drama, Musical & Performing Arts, Romance",Barbra Streisand,"Barbra Streisand, Jack Rosenthal, Jerome Kass",65.0,75.0,17.0,7896.0
m/we_own_the_night,We Own the Night,"In 1988, New York's police wage an all-out war on drugs, and guilty and innocent alike become casualties. Bobby Green (Joaquin Phoenix), manager of a nightclub that is often frequented by gangsters, tries to remain neutral but hides a potentially fatal secret: His brother (Mark Wahlberg) and father (Robert Duvall) are both cops. After his brother is wounded in an assassination attempt, Bobby can no longer remain neutral. He joins forces with his brother for an all-out assault on the mob.","Bland characters, clichéd dialogue and rickety plotting ensure We Own The Night never lives up to its potential.","Action & Adventure, Drama",James Gray,James Gray,57.0,61.0,152.0,264352.0
m/jesus,Jesus,,,"Art House & International, Drama",Fernando Guzzoni,Fernando Guzzoni,79.0,60.0,14.0,51.0
m/tales_from_the_hood,Tales From the Hood,"A creepy mortician, Mr. Simms (Clarence Williams III), attempts to scare teenage drug dealer Stack (Joe Torry) and his friends straight by telling them four horrifying stories. One is about a guilt-riddled cop (Anthony Griffith) who goes crazy after ignoring his corrupt partner (Michael Massee). He also tells of a meek schoolboy (Brandon Hammond) with terrifying supernatural powers. Although the young thugs want to take their drugs and escape Mr. Simms, he still has two more tales to tell.",,Horror,Rusty Cundieff,"Rusty Cundieff, Darin Scott",47.0,68.0,19.0,10609.0
m/freetown,Freetown,"As Liberia's civil war escalates, a group of missionaries embarks on a desperate cross-country trip to protect one of their own.",,Drama,Garrett Batty,"Melissa Leilani Larson, Garrett Batty",50.0,71.0,12.0,1109.0
m/sleeping_with_the_enemy,Sleeping with the Enemy,"After faking her death in order to flee from her violent husband, Martin (Patrick Bergin), Laura Burney (Julia Roberts) leaves Cape Cod and moves to Iowa, where she adopts a new identity and starts dating a local teacher, Ben Woodward (Kevin Anderson). Martin, meanwhile, unearths evidence suggesting that she isn't dead, and when her mother confirms this, he tracks her to Iowa. He finds Laura and Ben and confronts them, forcing her to fight for her life once again.","A game Julia Roberts gives it her all, but Sleeping with the Enemy is one stalker thriller that's unlikely to inspire many obsessions of its own.","Drama, Mystery & Suspense",Joseph Ruben,"Ronald Bass, Bruce Joel Rubin, Lloyd Fonvielle",20.0,61.0,35.0,63840.0
m/1108704-planet_of_the_apes,Planet of the Apes,"Director Tim Burton (""Batman"") reinvents one of the most acclaimed and beloved works of science fiction, Pierre Boulle's classic novel ""Planet of the Apes."" Burton's ""Planet of the Apes"" begins with the famed original's premise -- a pilot finds himself in a world turned upside down after landing on a strange planet.","This remake of Planet of the Apes can't compare to the original in some critics' mind, but the striking visuals and B-movie charms may win you over.","Action & Adventure, Drama, Science Fiction & Fantasy",Tim Burton,"William Broyles, Mark Rosenthal, Lawrence Konner",44.0,27.0,159.0,366849.0
m/mighty_heart,A Mighty Heart,"Mariane Pearl (Angelina Jolie), the wife of journalist Daniel Pearl (Dan Futterman) of The Wall Street Journal, heads to Pakistan after terrorists capture her husband. In the terrifying weeks that follow, she must cope with international attention and find her way through the dangerous world of underground politics in a desperate effort to find him.","Angelina Jolie conveys the full emotional range of a woman in a desperate situation in A Mighty Heart, an urgent yet tactful film about a difficult subject.",Drama,Michael Winterbottom,John Orloff,79.0,70.0,195.0,106646.0
m/10008140-borderland,Borderland,"Ed (Brian Presley), Henry (Jake Muxworthy) and Phil (Rider Strong) are three American college graduates in search of wild times in Mexico. After a night of partying with two local women, Ed and Henry realize that Phil is missing. Joining forces with an ex-cop, their search for their friend leads them to a horrifying encounter with cultists who practice human sacrifice.",,"Drama, Horror, Mystery & Suspense",Zev Berman,"Zev Berman, Eric Poppen",100.0,43.0,8.0,4194.0
m/archipelago,Archipelago,A family's deep fractures begin to surface during a vacation on the Isles of Scilly.,"Sad, funny, and wise in equal measure, Archipelago finds writer-director Joanna Hogg in remarkably strong, confident form.","Art House & International, Drama",Joanna Hogg,Joanna Hogg,96.0,58.0,24.0,1786.0
m/1019128-skin_deep,Skin Deep,"Hard-drinking novelist Zach Hutton (John Ritter) spirals out of control after his wife (Alyson Reed) and mistress both leave him. Alone and crippled by a bad case of writer's block, Zach slips in and out of casual relationships and one-night stands, while his drinking becomes more and more severe. With the help of a bartender (Vincent Gardenia) and his therapist (Michael Kidd), Zach confronts his demons -- women and alcohol -- and rediscovers his writing voice.",,Comedy,Blake Edwards,Blake Edwards,38.0,56.0,16.0,2814.0
m/blackbird_2015,Blackbird,"Randy, a devout high school choir boy, struggles with his sexuality while living in his conservative Mississippi town. His mother blames him for his sister's disappearance as his father guides him into manhood.",,"Drama, Special Interest",Patrik-Ian Polk,"Patrik-Ian Polk, Rikki Beadle Blair",40.0,56.0,10.0,662.0
m/pocahontas_ii_journey_to_a_new_world,Pocahontas II: Journey to a New World,"In this animated sequel, John Smith (Donal Gibson) goes missing after soldiers try to capture him on charges of treason that were trumped up by devious Gov. Ratcliffe (David Ogden Stiers). Smith's longtime love, Native American princess Pocahontas (Irene Bedard), is devastated by the news. In the meantime she must voyage to England as an ambassador. With her dashing guide, John Rolfe (Billy Zane), Pocahontas enters a strange new world, determined prevent an unjust war against her people.",,"Action & Adventure, Animation, Kids & Family","Tom Ellery, Bradley Raymond","Allen Estrin, Cindy Marcus, Flip Kobler",29.0,28.0,7.0,63598.0
